State,Year,Inflation Adjusted Total Spending,Num Students,Num Teachers,Population,Personal Income,NAEP Scores,Effort,Alternative Effort,Alternative Effort Ranked,Effort Ranked,Inflation Adjusted Exp Per Student
Tennessee,1978,4297239224,873036,41220,4145296,122859938450,,4.44,4.13,40.0,39.0,4922.178723443249
Texas,1978,15735575613,2867254,154913,12653742,429477366258,,4.61,4.32,34.0,36.0,5488.029875623157
Utah,1978,1699947457,325026,13425,1298034,38515359102,,5.48,5.21,9.0,9.0,5230.189144868411
Vermont,1978,635287181,101292,6480,460390,14171647005,,5.73,5.29,7.0,7.0,6271.839641827588
Virginia,1978,5855293980,1055238,56739,4980642,178426167629,,4.11,3.87,47.0,49.0,5548.789922273459
Washington,1978,5570129688,769246,34893,3621944,140259408675,,5.03,4.69,22.0,23.0,7241.025222100602
West Virginia,1978,2117711313,395722,19765,1771917,50575575854,,5.36,4.94,14.0,16.0,5351.512710943542
Wisconsin,1978,6343995210,886419,47677,4264625,151535572533,,5.37,4.94,15.0,14.0,7156.880899439204
Wyoming,1978,684173103,94328,5806,407931,15997137886,,5.33,5.05,12.0,17.0,7253.128477228394
Alabama,1979,3833486182,754181,31967,3592053,102164027288,,4.97,4.62,33.0,32.0,5082.9789957583125
